authors,author_id,title,year,source_title,volume,issue,cited_by,author_keywords,index_keywords,document_type,article_no
Lu W| Cao Q| Xu B| Adidharma H| Gasem K| Argyle M| Zhang F| Zhang Y| Fan M.,57194874146|8935141300|57194231165|6601976036|35547089300|7004479819|55413647400|55739722900|7201970805|,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,2020,Journal of Cleaner Production,265,,5,Catalysis| CO2 reduction| Coal| Gasification| Ideal syngas| Pyrolysis,Activation energy| Carbon dioxide| Carbon dioxide process| Carbon footprint| Carbon monoxide| Catalysts| Coal| Global warming| Iron research| Methane| Oxalic acid| Reaction kinetics| Synthesis gas| Synthesis gas manufacture| Carbon and hydrogens| Carbon dioxide emissions| Carbon footprint reductions| Char gasification| Multifunctional agents| Process efficiency| Syngas production| Two-stage process| Coal combustion,Article,20
Webb D| Song Y| Rozsa J| Gustafson E| Austin D.E| Hawkins A.R| Chiang S.-H.W.,57217041570|57200117690|57207689986|57200699937|7202316035|7102975249|35209941000|,"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",2020,Midwest Symposium on Circuits and Systems,2020-August,,362,bandpass filter| biquad filter| particle detector| pulse shaping| Sallen-Key| Shaper,High pass filters| Particle detectors| Biquad filter| Design process| Front-end amplifier| Particle detection| Power efficiency| Pulse signal| State of the art| Transfer characteristics| Pulse shaping,Conference Paper,21
Lam S.-H| Brewer E| Ng Y.-K.,57219312906|57215534774|35303536900|,"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",2020,"Proceedings - 2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science, IRI 2020",,,310,content| deep learning| metadata| Research paper,Data integration| Data Science| Information use| Paper| Publishing| Search engines| Websites| Academic journal| Empirical studies| High volumes| Latest development| Learning models| Research papers| Scientific journals| Scientific papers| Deep learning,Conference Paper,22
Erickson H.C| Homer E.R.,57216811262|8705255200|,Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,2020,Scripta Materialia,185,,110,Atomistic simulations| Grain boundaries| Nickel,Crystal lattices| Nickel| Boundary planes| Coincidence site lattices| Disorientation angle| Face-centered cubic| Grain-boundary energy| Low angle boundaries| Misorientations| Grain boundaries,Article,23
Huang J.-S| Huang Y.-C| Kao C.-W| Hsu C.-W| Chiang S.-H.W| Chen C.-H.,57218879246|57218883196|57218883472|57218875152|35209941000|36444802300|,A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),2020,Midwest Symposium on Circuits and Systems,2020-August,,121,analog-to-digital converter (ADC)| delta sigma (?S)| incremental data converters| multi stage noise shaping (MASH)| multi-step| time-domain analysis| two step,Bandwidth| Signal to noise ratio| Analog to digital converters| Coarse quantization| Data converter| High resolution| Multi stage noise shaping| Over sampling ratio| Power efficient| Wide bandwidth| Analog to digital conversion,Conference Paper,24
Wallace J.W| Mahmood A| Jensen M.A| Mehmood R.,7402967162|56196521900|35597296700|55649569259|,Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,2020,IEEE Transactions on Aerospace and Electronic Systems,56,4,472,Cooperative navigation| direction-of-arrival estimation| MIMO systems| pose estimation| relative attitude estimation| unmanned aerial vehicles,Antennas| Degrees of freedom (mechanics)| MIMO systems| Unmanned aerial vehicles (UAV)| Ambiguity resolution| Attitude estimation| Cooperative navigations| Multiple-input multiple-output channels| Potential methods| Radio frequencies| Two degrees of freedom| Vector estimates| Air navigation,Article,25
Koch D.P| Wheeler D.O| Beard R.W| McLain T.W| Brink K.M.,55849071700|57190404271|35562442700|7006542177|36668159600|,Relative multiplicative extended Kalman filter for observable GPS-denied navigation,2020,International Journal of Robotics Research,39,9,800,aerial robotics| multiplicative extended Kalman filter| Sensor fusion| vision-aided inertial navigation,Agricultural robots| Global positioning system| Vehicles| Direct measurement| Global measurements| GPS-denied navigations| Inertial measurement unit| Laser scan matching| Multiplicative extended kalman filters| System robustness| Useful properties| Extended Kalman filters,Article,26
Amini E| Babaei A| Mehrnia M.R| Shayegan J| Safdari M.-S.,57200206301|57190131647|35612908400|8208300700|57192643299|,Municipal wastewater treatment by semi-continuous and membrane algal-bacterial photo-bioreactors,2020,Journal of Water Process Engineering,36,,338,Algal-bacterial culture| Membrane bioreactor| Microalgae| Photo-bioreactor| Wastewater treatment,,Article,27
Weaver B.P| Kaufeld K| Warr R.,57215136260|56442655200|55827824100|,Estimating correlations with censored data,2020,Quality Engineering,32,3,164,,Safety engineering| Censored data| Censored observations| Keypoints| Quality control,Article,28
Pack A.T| Phipps E.R| Mattson C.A| Dahlin E.C.,57197773578|57204761536|7004300863|8421746800|,"Social impact in product design, an exploration of current industry practices",2020,"Journal of Mechanical Design, Transactions of the ASME",142,7,390,Design for humans| Design for X| Product development| Sustainable design| User-centered design,Ecodesign| Engineers| Laws and legislation| Life cycle| Product design| Academic research| Current practices| Design engineers| Engineering professionals| Government regulation| Industry practices| Social impact assessments| State of the art| Economic and social effects,Article,29
White J.H| Beard R.W.,57203660684|35562442700|,An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,2020,IEEE/CAA Journal of Automatica Sinica,7,4,583,Aerial robotics| epipolar geometry| multi-target tracking| pose estimation| unmanned aircraft systems| vision-based flight,Aircraft detection| Clutter (information theory)| Geometrical optics| Matrix algebra| Video recording| Embedded hardware| Epipolar geometry| Inertial measurement unit| Multi-target tracking| Pose estimation algorithm| Real time performance| Relative rotation| State-of-the-art algorithms| Iterative methods,Article,30
Clark R| Dickinson T| Loaiza J| Geiger D.W| Charles S.K.,57218095797|57218102993|57218105310|57197795830|14033673100|,Tracking joint angles during whole-arm movements using electromagnetic sensors,2020,Journal of Biomechanical Engineering,142,7,280,Electromagnetic sensors| In vivo measurements| Inverse kinematics| ISB| Landmark| Postural| Sensor-to-body| Sensor-to-segment| Upper limb| Whole arm,Calibration| Clinical research| Degrees of freedom (mechanics)| Joints (anatomy)| Calibration method| Clinical application| Co-ordinate system| Electromagnetic sensors| Experimental methods| In-vivo measurement| International Society of Biomechanics| Motion tracking system| Motion tracking| anatomic landmark| arm movement| Article| body position| comparative study| elbow| electromagnetism| forearm| in vivo study| kinematics| methodology| rotation| shoulder| wrist,Article,31
Rose M.T| Pielstick B.D| Jones Z.T| Sommerfeldt S.D| Gee K.L| Thomson S.L.,57205285411|57205288709|57205293533|6701746882|10141271600|7202277096|,Case study: Noise reduction of a vacuum-assisted toilet,2020,Noise Control Engineering Journal,68,4,63,,Acoustic noise measurement| Noise abatement| Control performance| Intermediate results| Noise levels| Noise range| Radiated noise| Radiated sound| Tube inserts| Valve opening| Acoustic variables control,Article,32
Hyatt L.P| Magleby S.P| Howell L.L.,57214937519|6701720294|57211516485|,Developable mechanisms on right conical surfaces,2020,Mechanism and Machine Theory,149,,864,Compact mechanism| Conical surface| Developable mechanism| Spherical mechanism,Mechanical engineering| Mechanisms| Conical geometry| Conical surfaces| Multiloop| Position analysis| Spherical mechanisms| Spheres,Article,33
Willis J| Johnson J| Beard R.W.,57200077532|55613237293|35562442700|,State-Dependent LQR Control for a Tilt-Rotor UAV,2020,Proceedings of the American Control Conference,2020-July,,831,,Aerodynamics| Antennas| Controllers| Fixed wings| Flight simulators| Linear control systems| Unmanned aerial vehicles (UAV)| Aerodynamic modeling| Angular rate| Control schemes| Flight modes| LQR controller| State-dependent| Trajectory tracking| Vertical take-off and landings| Aircraft control,Conference Paper,34
Libano F| Wilson B| Wirthlin M| Rech P| Brunhaver J.,57208246750|57206834042|7003292762|19638969800|55301279200|,"Understanding the Impact of Quantization, Accuracy, and Radiation on the Reliability of Convolutional Neural Networks on FPGAs",2020,IEEE Transactions on Nuclear Science,67,7,412,Field-programmable gate array (FPGA)| neural networks| quantization| reliability,Aerospace applications| Convolution| Failure analysis| Field programmable gate arrays (FPGA)| Integrated circuit design| Low power electronics| Military applications| Military vehicles| Multilayer neural networks| Network layers| Random errors| Static random access storage| Binary quantization| Configuration memory| Design flexibility| Low-power consumption| Misclassifications| Reliability impacts| Resource utilizations| Static random access memory| Convolutional neural networks,Article,35
Švenda V.G| Stanković A.M| Sarić A.T| Transtrum M.K.,57192247939|57218886193|6701777223|8448666000|,Flexible hybrid state estimation for power systems with communication irregularities,2020,"IET Generation, Transmission and Distribution",14,11,703,,Computer software| Data acquisition| Drops| Observability| Packet loss| State estimation| Communication delays| Discrete Kalman filters| Hybrid state estimation| Network simulator 2| Packet-drop probability| Realistic communication| Supervisory control and data acquisition| System observability| Phasor measurement units,Article,36
Lawson J|7402258065|,Comparison of conditional main effects analysis to the analysis of follow-up experiments for separating confounded two-factor interaction effects in 2 IVk−p fractional factorial experiments,2020,Quality and Reliability Engineering International,36,4,1,821,Separation| Aliased| CME analysis| confounding| effect heredity| Effect sparsity| Hierarchical order| Factor analysis,Article,,37
Afran M.S| Saquib M| Rice M.,36987999600|7003868048|7202083837|,On the effects of channel sparsity on joint estimators in aeronautical telemetry,2020,IEEE Transactions on Aerospace and Electronic Systems,56,3,512,Aeronautical telemetry| continuous phase modulation (CPM)| frequency-selective multipath| shaped offset QPSK (SOQPSK)| sparse channel estimation,Bit error rate| Equalizers| Errors| Frequency allocation| Maximum likelihood| Mean square error| Telemetering equipment| Aeronautical telemetry| Carrier frequency offsets| Discrete-time channels| Filter coefficients| Frequency selectivity| Minimum mean squared error equalizers| Reliable estimates| Viable solutions| Parameter estimation,Article,38
Ellingson G| Brink K| McLain T.,57190402922|36668159600|7006542177|,Relative navigation of fixed-wing aircraft in GPS-denied environments,2020,"Navigation, Journal of the Institute of Navigation",67,2,753,,Air navigation| Aircraft| Flight simulators| Global positioning system| Kalman filters| Flight test| Global constraints| Global state| Inertial measurement unit| Measurement model| Monocular cameras| Nonlinear uncertainties| Relative navigation| Fixed wings,Article,39
Sansom R.L| Bodily R| Bates C.O| Leary H.,9535406000|56703308500|57216531463|23050937200|,Increasing Student Use of a Learner Dashboard,2020,Journal of Science Education and Technology,29,3,734,Dashboards| Distributed learning environments| Human-computer interface| Interactive learning environments| Learning analytics| Online learning systems,,Article,40
Small K.A| Clayburn Z| DeMott R| Primig S| Fullwood D| Taheri M.L.,57199050938|57211158470|57195286623|35790633100|12142543700|8715877100|,Interplay of dislocation substructure and elastic strain evolution in additively manufactured Inconel 625,2020,Materials Science and Engineering A,785,,8,Additive manufacturing| Dislocation structures| Elastic strain| Microstructural evolution| Nickel superalloys| Rapid solidification,3D printers| Additives| Laser heating| Open source software| Open systems| Residual stresses| Sintering| Complex microstructures| Cross correlations| Dislocation structures| Dislocation substructures| Geometrically necessary dislocations| High resolution electron backscatter diffractions| Laser additive manufacturing| Residual strains| Strain,Article,41
McLeod A.R| Bruening D| Johnson A.W| Ward J| Hunter I.,57209474608|12445208100|35868117400|57209473859|35867849600|,Improving running economy through altered shoe bending stiffness across speeds,2020,Footwear Science,12,2,53,footwear| Marathon racing| performance,,Article,42
Camacho R.M| Fish D| Simmons M| Awerkamp P| Anderson R| Carlson S| Laney J| Viglione M| Nordin G.P.,8929123100|57215607275|57215609504|57200118993|57215613881|57215598228|57211987837|57209538650|7005636820|,Self-Sustaining 3D Thin Liquid Films in Ambient Environments,2020,Advanced Materials Interfaces,7,9,213,additive manufacturing| thin liquid films,Aspect ratio| Cytology| Geometry| Liquid films| Microfluidics| Thermodynamics| Water cooled reactors| Wetting| Ambient environment| Capillary effects| High resolution| Large aspect ratio| Light water cooled nuclear reactors| Microfluidic channel| Microfluidic geometry| Thin liquid film| 3D printers,Article,43
Knighton B.E| Nielson M| Hardy R.T| Alejandro A| Rawlings L| Johnson J.A.,57202910818|55213245300|57211642778|57196372172|57208225620|57209824884|,Picking Out Nonlinear Collective Couplings with Two-Dimensional Terahertz Spectroscopy,2020,Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS,2020-May,,807,,Barium compounds| Couplings| Degrees of freedom (mechanics)| Barium borate| Spectral feature| Terahertz spectra| Vibrational couplings| Terahertz spectroscopy,Conference Paper,44
Peatross J| Atkinson N| Hodge D| Pratt B| Romero M| Schulzke C| Ware M.,6701646284|57216751001|57216748895|36913263000|57217283178|57216749286|7005357023|,Measured Polarization Components of Nonlinear Thomson Scattering,2020,Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS,2020-May,,490,,Light scattering| Polarization| Free electron| Laser focus| Nonlinear Thomson scattering| Polarization components| Red-shifted| Spatial patterns| Third harmonic| Light,Conference Paper,45
Ottosson H.J| Mattson C.A| Dahlin E.C.,57192943554|7004300863|8421746800|,"Analysis of perceived social impacts of existing products designed for the developing world, with implications for new product development",2020,"Journal of Mechanical Design, Transactions of the ASME",142,5,111,Design for humans| Design for X| Product development| Sustainable design,Developing countries| Engineers| Product development| Developing product| Developing world| Engineered products| New product development| Probability tables| Product development process| Product reviews| SIMPLE method| Economic and social effects,Article,46
Hamilton E.S| Hawkins A.R.,56709287700|7102975249|,Direct macro-to-micro interface method for microfluidics,2020,Journal of Micromechanics and Microengineering,30,5,457,,Fluidic devices| Polymethyl methacrylates| Printed circuit boards| Substrates| Temperature| Device materials| Fluid interface| Glass substrates| Low temperature processing| Microfluidic channel| Microfluidic chip| Plastic tubing| Pressure tests| Microfluidics,Article,47
Crane N.B|7003772744|,Impact of part thickness and drying conditions on saturation limits in binder jet additive manufacturing,2020,Additive Manufacturing,33,,2,282,3D printers| Additives| Drying| Ink jet printing| Saturation (materials composition)| Stainless steel| Additive manufacturing process| Droplet volume| Drying condition| Heating conditions| Postprocessing methods| Saturation levels| Saturation limits| Saturation parameters| Drops,Article,,48
Aryal B.R| Ranasinghe D.R| Westover T.R| Calvopiña D.G| Davis R.C| Harb J.N| Woolley A.T.,57195970826|57203943386|57193834529|57203942414|7410190129|7007046711|7006111578|,DNA origami mediated electrically connected metal—semiconductor junctions,2020,Nano Research,13,5,736,current-voltage measurement| DNA nanofabrication| electroless plating| gold nanorods| nanoelectronics| tellurium nanorods,DNA| Electroless plating| Gold Nanorods| Metals| Nanoelectronics| Nanorods| Plasmons| Semiconducting tellurium| Bottom up approach| DNA nanostructures| Electrical characterization| Electroless gold plating| Inorganic nanostructures| Schottky junctions| Semiconductor interfaces| Voltage properties| Semiconductor junctions,Article,49
Fujimoto M.S| Lyman C.A| Clement M.J.,56371366400|57202818911|7102523474|,Kcollections: A fast and efficient library for K-mers,2020,"Proceedings - 2020 IEEE 34th International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2020",,,383,Data structure| Genomics| K-mer| Parallel programming,Bioinformatics| C++ (programming language)| Data structures| Software prototyping| De Bruijn graphs| False positive| Map-reduce| Parallel data structures| Parallel operations| Specific values| Digital storage,Conference Paper,50
Bunimovich L| Passey D.J| Smith D| Webb B.,7003927879|57217245563|57198519795|55100119300|,Spectral and Dynamic Consequences of Network Specialization,2020,International Journal of Bifurcation and Chaos,30,6,263,complex dynamics| Dynamic network| intrinsic stability| recurrent neural network| specialization| spectral properties,Dynamics| Learning algorithms| Topology| Global stability| Hierarchical topology| Network element| Real-world networks| Skewed degree distribution| Spectral properties| Topological evolution| Topological features| Recurrent neural networks,Article,51
Miao D| Zou Z| Scott M.A| Borden M.J| Thomas D.C.,57201257192|56330168500|9942259800|39861044100|36708895400|,Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems,2020,Computer Methods in Applied Mechanics and Engineering,363,,135,Biharmonic problem| C1 continuity| Dual basis| Dual mortar method| Enriched Bézier dual basis| Patch coupling,Polynomial approximation| Biharmonic problem| Continuity constraints| Dual basis| Dual mortars| Fourth order problems| Higher-order polynomials| Optimal approximation| Polynomial splines| Mortar,Article,52
Yu M| Zhang D| Lee D.-J| Desai A.,57210419894|14059209700|7406665619|7201793184|,SR-SYBA: A scale and rotation invariant synthetic basis feature descriptor with low memory usage,2020,Electronics (Switzerland),9,5,544,Feature description algorithm| Log-polar coordinates| Rotation-invariance| Scale-invariance| Vision-based measurement,,Article,53
Gunnarsson A| Andersson K| Adams B.R| Fredriksson C.,56692412900|57211105311|7202518970|12445742400|,Discrete-ordinates modelling of the radiative heat transfer in a pilot-scale rotary kiln,2020,Energies,13,9,723,Discrete-ordinates method| Experiments and modelling| Radiative heat transfer| Rotary kiln,Angular distribution| Brickmaking| Heat flux| Heat radiation| Radiative transfer| Rotary kilns| Absorption and scatterings| Conductive heat transfer| Cylindrical enclosure| Discrete ordinates method| Particle distributions| Radiative heat fluxes| Radiative heat transfer| Radiative transfer equations| 3D modeling,Article,54
Peters W| Jones T| Efimov A| Pedersoli E| Foglia L| Mincigrucci R| Nikolov I| Trebino R| Sandberg R| Danailov M| Capotondi F| Bencivenga F| Bowlan P.,57218836048|57194504247|7202040335|14631026900|55159798000|54941111500|55258876800|7006038251|20735824800|55846910700|6602657620|14033765300|13005462200|,Single-Shot Measurement of Extreme Ultraviolet Free Electron Laser Pulses,2020,Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS,2020-May,,531,,Four wave mixing| Free electron lasers| All optical| Extreme-ultraviolet free-electron lasers| Phase sensitive| Pulse train| Single-shot measurements| Spectrograms| Electrons,Conference Paper,55
Frazer D| Bair J.L| Homer E.R| Hosemann P.,55770396700|56735940800|8705255200|23099630500|,Cryogenic Stress-Driven Grain Growth Observed via Microcompression with in situ Electron Backscatter Diffraction,2020,JOM,72,5,344,,Backscattering| Coarsening| Cryogenics| Deformation| Electron diffraction| Cryogenic loading| Cryogenic temperatures| Elastic and plastic deformation| Electron back scatter diffraction| Equal channel angular pressed| Micro compressions| Science applications| Stress-driven grain-growth| Grain growth,Article,56
Warr C| Valdoz J.C| Bickham B.P| Knight C.J| Franks N.A| Chartrand N| Van Ry P.M| Christensen K.A| Nordin G.P| Cook A.D.,57215680724|57205652801|57195427378|57215684781|57215687139|57215697686|56251876800|7202687601|7005636820|56514586700|,Biocompatible PEGDA Resin for 3D Printing,2020,ACS Applied Bio Materials,3,4,236,3D printing| biocompatibility| cytotoxicity| microfluidics| resin| spheroid,Biocompatibility| Cell adhesion| Cytotoxicity| Microfluidics| Plasma applications| Polyethylene glycols| Resins| Sulfur compounds| 3-D printing| Cell migration| Design approaches| High resolution| Microfluidic structures| Plasma treatment| Polyethylene glycol diacrylate| spheroid| 3D printers,Article,57
